10009,1.28210155945393,103.81722480263163,Bt Merah Int
10011,1.2777380589964,103.83749709165197,Opp New Bridge Rd Ter
10017,1.27832046633393,103.83762574759974,Aft Hosp Dr
10018,1.27900819665099,103.83860360621959,Outram Pk Stn Exit F/SGH
10021,1.27744837946643,103.83838894560753,Blk 3
10039,1.27734776750189,103.83636995885735,Bef Hosp Dr
10041,1.27605834770353,103.83519065305671,Aft Blair Rd
10049,1.27623302424393,103.83483786772155,Aft Jln Bt Merah
10051,1.2774116353284,103.83214410914843,Blk 149
10059,1.27739664167497,103.83275178077875,Opp Blk 149
10061,1.27860472196885,103.82948638898173,Blk 140
10069,1.27855472196877,103.83008250001669,Opp Blk 140
10071,1.28045309423663,103.82638920754815,Blk 111
10079,1.2803950142786,103.82708906887606,Blk 201
10081,1.2822783541702,103.82241744338572,Opp Blk 120
10089,1.28292332245689,103.82165660905856,Blk 119
10091,1.28394108576437,103.81783962251122,Bt Merah Town Ctr
10099,1.28420923932422,103.81765723225827,Opp Bt Merah Town Ctr
10101,1.28502568134889,103.81374366011399,SPRING S'pore Bldg
10109,1.28531403163162,103.81365537642607,Opp SPRING S'pore Bldg
10111,1.28592835098556,103.80935410958449,Opp Blk 28
10119,1.28598009010704,103.81122515087834,Opp Pacific Tech Ctr
10121,1.28266111197257,103.82894111173319,Blk 126 CP
10129,1.28231999999009,103.8285719444802,Blk 121
10131,1.28619141382394,103.80686549059318,Opp Blk 2
10139,1.28635135443034,103.8081000223439,Blk 1
10141,1.28583847140468,103.83238179897589,Blk 18
10149,1.28606797463712,103.83283384311112,Blk 1
10151,1.28572048365401,103.8285292287095,Ctrl Green Condo
10161,1.28593135445772,103.82668969231534,Opp Tiong Bahru Plaza
10169,1.28599961406266,103.82748123930962,Tiong Bahru Plaza
10171,1.28736808047078,103.82346004890803,Opp Tiong Bahru Pk
10179,1.28722333302937,103.82395833301354,Tiong Bahru Pk
10181,1.28848771148124,103.8209448467392,Bef Al-Rabitah Mque
10189,1.28858805222806,103.82183192865197,Blk 104A CP
10191,1.28860026020096,103.81903121724014,Blk 78
10199,1.28875723330649,103.81936618662205,Delta Swim Cplx
10201,1.28928144532567,103.81662854691157,Opp Redhill Stn
10209,1.28954631749853,103.81672885450702,Redhill Stn
10211,1.29075499997303,103.81144166700754,Porsche Ctr S'pore
10219,1.29089526651849,103.81191424883255,Opp Motor Image
10221,1.29032906602668,103.83111793441608,Ganges Ctr
