1012:2,7,12,32,33,51,61,63,80,175,12e,2A
1013:130,133,145,197,851,960,851e,960e
1019:2,12,33,130,133,960,12e,960e
1029:7,32,51,61,63,80,145,175,197,851,63A,7A,851e
1039:7,32,51,61,63,80,145,175,197,851,63A,7A,851e
1059:2,12,33,130,133,960,960e
1109:170A
1112:7,12,63,80,175,197,851,960,980,12e,851e,960e
1113:2,32,33,51,61,130,133,145,2A
1119:2,12,33,130,133,960,12e,960e
1121:2,7,12,32,33,51,61,63,80,130,133,145,175,197,2A
1129:2,12,33,133
1139:7,32,51,61,63,80,145,175,197,851,63A,7A,851e
1211:2,7,12,32,33,51,61,63,80,107,133,145,175,197,107M,2A
1219:2,12,33,107,133,107M
1229:7,32,51,61,63,80,145,175,197,63A,7A
1231:107,107M
1239:107,961,980,107M,961M
1311:2,7,12,32,33,51,61,63,80,107,133,145,175,197,107M,2A
1319:2,12,33,107,133,107M
1329:7,32,51,61,63,80,145,175,197,961,980,63A,7A,961M
1339:7,32,51,61,63,80,100,145,175,197,961,980,63A,7A,961M
1341:100,961,980,961M
1349:100
1411:100,961,980,961M
1419:100
1421:100,961,980,961M
1429:100
1511:100,107,961,980,107M,961M
1519:57,100,107,961,980,107M,961M
1521:100,107,961,980,107M,961M
1529:100,107,961,980,107M,961M
1541:48,57,12e
1549:48,12e,2N,4N
1559:48,57,12e,2N,4N
1611:56,57,100,107,961,961M
1619:56,57,100,107,961,107M,961M
1621:57,100,107,961,980,961M
1629:57,100,107,961,107M,961M
1631:56,980
1639:56,980
2029:75,100,107,130,131,167,131A
2049:14,16,36,77,106,111,130,131,133,162,167,502,518,652,656,660,663,665,857,960,131A,14e,162M,16M,36B,502A,518A,850E,857B,951E,960e
2051:36,56,75,77,97,106,111,133,195,857,960,162M,195A,1N,2N,36A,36B,3N,4N,5N,6N,70M,960e,961M,97e,NR1,NR2,NR5,NR6,NR8
2061:36,56,75,77,97,106,111,133,195,857,960,162M,195A,1N,2N,36A,36B,3N,4N,5N,6N,70M,960e,961M,97e,NR1,NR2,NR5,NR6,NR8
2089:36,56,75,77,97,195,960,107M,36A,36B,960e,961M,97e
2099:56,75,77,97,195,960,195A,1N,2N,3N,4N,5N,6N,960e,97e,NR2,NR5,NR8
2101:56,75,77,97,195,960,195A,1N,2N,3N,4N,5N,6N,960e,961M,97e,NR2,NR5,NR8
2111:10,57,70,75,100,107,130,131,162,167,196,652,656,660,663,665,850E,868E,951E
2119:10,57,70,162,196,652,656,660,663,665,10e,196A,196e,850E,951E
2141:107M
2149:36,36A,36B
2151:36,97,106,111,133,502,518,857,162M,36B,502A,518A,70A,70M,857B,868E,97e
2159:36,97,36A,36B,97e
2161:36,97,106,111,133,502,518,857,162M,36B,502A,518A,70A,70M,857B,868E,97e
2169:97,107M,97e
2171:36,97,106,111,133,502,518,857,162M,36A,36B,502A,518A,70A,70M,97e
2181:195,961,961M
3011:10,57,70,75,100,107,130,131,162,167,196,652,656,660,663,665,10e,196e,850E,868E,951E
3019:10,57,70,75,100,107,130,131,162,167,196,652,656,660,663,665,10e,131A,196A,196e,850E,951E
3021:57,131,167
3031:10,70,75,100,107,130,162,196,652,656,660,663,665,10e,196e,850E,868E,951E
3041:186,970
